实际抵达日期,产品描述,收货人,收货人地址,发货人,发货人地址,通知人,承运人,原产国,海外装货港,目的港,目的国,启运国,产品件数/拼箱货柜,数量单位,TEU,千克重/拼箱货柜,千克重/件,尺寸,货运收货人,货柜号,卸货港,卸货港所在州,装运标志及编号,产品海关编码,货柜运输类型,支线承运人收货地,货运托运人,双抬头托运人,货柜个数/船东提单,收货人所在州
2023-12-31,H S CODE 39100020 SILICONE FLUID LK SIL 100T,BAKER PETROLITE LLC,135 INDUSTRIAL DRIVE RAYNE LA 70578 US,ELKAY CHEMICALS PVT. LTD.,"PLOT NO F-5,MIDC,LOTE-PARSHURAMINDL AREA,VILLAGE-LOTE,TAL KHED RATNAGIRI 415722 IN",BAKER PETROLITE LLC,PGSM-PEGASUS MARITIME INC,INDIA,JAWAHARLAL NEHRU/NAVA SHEVA/NHAVA SHEVA,HOUSTON,UNITED STATES,INDIA,18,PKG,1.0,18078.0,1004.33,2000*806*802,PEGASUS MARITIME INC,MSKU7857264,HOUSTON,TEXAS,60000 -,0,FCL,JAWAHARLAL NEHRU,NOBLE SHIPPING PVT. LTD,TRANSHIPMENT,1,LOUISIANA
2023-12-31,BOPP PACKING TAPE HOT STAMPING FOIL CORRUGATE D CARTON ALUMINIUM-SILICONE RUBBER SLAB,PROPI USA INC.,4299 NW 167TH STREETMIAMI GARDENS FLORIDA 33055 USA,LUOYANG XIAO YIN PAPER PTY LTD.,NO 397 ZHONGZHOU WEST ROADLUOYANG CHINA 471000,PROPI USA INC,AMIG-AMASS INTERNATIONAL GROUP INC,CHINA,SHANG HAI,MIAMI,UNITED STATES,CHINA,7,PKG,0.04,2958.0,422.57,4000*906*802,None,BEAU4010072,MIAMI,FLORIDA,DELVIS DEMENDOZA PROPI USA INC. MIAMI FLORIDA USA,0,LCL,"SHANGHAI,CHINA",CMA-CGM,TRANSHIPMENT,1,FLORIDA
2023-12-31,SILICONE RUBBER KEY PADS HTS : 3926909,S G ELECTRONICS INC.,9113 MACON ROADCORDOVA TN 38016 US,SILITECH TECHNOLOGY CORPORATION SDN,"1528 MK 15 JALAN BESARSUNGAI. JAWISUNGAI JAWI, PENANG 14200 MY",None,EXDO-EXPEDITORS INTERNATIONAL OF WASHINGTON INC,MALAYSIA,SINGAPORE,SAVANNAH,UNITED STATES,SINGAPORE,722,CTN,2.0,4609.97,6.38,4000*900*800,EXPEDITORS INTERNATIONAL OF WASHING,BMOU6025625,SAVANNAH,GEORGIA,S/G U.S.A (LOT# 20957) C/N : 1/ 520 MADE IALAYSIA (13 PALLETS ) S/G U.S.A (LOT# 20958) C/N : 1/ 70;MADE IALAYSIA ( 3 PALLETS ) S/G U.S.A (LOT# 20959) C/N : 1/ 6 MADE IALAYSIA ( 6 CARTONS) S/G,3926909,FCL,PENANG,EXPEDITORS (MALAYSIA) SDN. BHD.,TRANSHIPMENT,1,TENNESSEE
2023-12-31,SHIN-ETSU SILICONE,SHIN-ETSU SILICONES OF AMERICA INC.,HEAD OFFICE 1150 DAMAR DRIVE AKRON OH 44305 US IMPORT DIV. TE 330-630-9860,"SHIN-ETSU CHEMICAL CO.,LTD.","HEAD OFFICE, 4-1, MARUNOUCHI1-CHOMECHIYODA-KU, TOKYO 100-0005 JP EXPORT DIV. TE 03-6812-2400","SHIN-ETSU SILICONES OF AMERICA, INC",MQLA-MITSUBISHI LOGISTICS AMERICA CORPORATION,THAILAND,LAEM CHABANG,TACOMA,UNITED STATES,THAILAND,153,PKG,0.0,13692.0,89.49,0,MITSUBISHI LOGISTICS AMERICA,GLDU9552660,TACOMA,WASHINGTON,KF-6017 TJ-40320782,0,FCL,LAEM CHABANG,"MITSUBISHI LOGISTICS (THAILAND) CO., LTD",TRANSHIPMENT,1,OHIO
2023-12-31,RUBBER SEAL SILICONE SEAL RUBBER TUBE PLASTIC PART,MID-ATLANTIC RUBBER COMPANY,2900 WHITTINGTON AVENUE BALTIMORE MD 21230 US LORIE STUBBINS TE 0018005361620,NONE,NONE,MID-ATLANTIC RUBBER COMPANY,SEWW-SOUTH EAST WORLD WIDE LTD,CHINA,SHANG HAI,BALTIMORE,UNITED STATES,CHINA,327,CTN,0.0,5142.99,15.73,0,None,ZCSU7773445,BALTIMORE,MARYLAND,PO# : P/N : QTY : MADE IN CHINA,0,LCL,SHANGHAI,,TRANSHIPMENT,1,MARYLAND
2023-12-31,SILICONE RUBBER SLEEVE/ RUBBER WASHER/ STEEL,PAC INTERNATIONAL INC.,2000 SE 4TH AVESUITE A CANBY OR 97013 USA CANBY OR 97013 US,"QINGDAO HAGOIN RUBBER & PLASTIC PRODUCTS CO.,LTD.",".NO.2 LUSHAN ROAD, QINGDAO CN",PAC INTERNATIONAL INC,WJLN,CHINA,QINGDAO,TACOMA,UNITED STATES,CHINA,3,PKG,0.01,1330.0,443.33,4000*907*802,BINEX LINE CORPORATION-SEATTLE,CXRU1554933,TACOMA,WASHINGTON,FERRULE/ STEEL BRACKET,0,LCL,QINGDAO CHINA,"WORLD JAGUAR LOGISTICS,INC.",TRANSHIPMENT,1,OREGON
2023-12-30,SILICONE RUBBER KEYBOARD FOR AUTOMOTIVE PARTS,MARQUARDT SWITCHES INC.,2711 ROUTE 20 EAST CAZENOVIA NY 13035-046 US,SATECO HK LIMITED,"UNIT 2217, 22/F, SEAPOWER TOWER,;CONCORDIA PLAZA, 1 SCIENCE MUSEUM ROAD, TSIM SHA TSUI ; ; HK ; TE;FX +85223321813;+85223321667",MARQUARDT SWITCHES INC,COHE-COHESION FREIGHT (HK) LIMITED,HONG KONG(CN),HONG KONG,"NEW YORK/NEWARK AREA, NEWARK",UNITED STATES,HONG KONG(CN),31,CTN,0.03,350.0,11.29,4000*906*802,"TROY CONTAINER LINE, LTD.",GCXU5159929,"NEW YORK/NEWARK AREA, NEWARK",NEW JERSEY,MARQUARDT USA CNO 001 031,0,LCL,HONG KONG,ORIENT STAR TRANSPORT INTERNATIONAL,TRANSHIPMENT,1,NEW YORK
2023-12-30,"XIAMETER(TM) XIAMETER(TM) PMX-200 SILICONE FLUID 1.5 CST170 KG DRUM IMO-CLASS 3 UN-NUMBER 1993 FLASHPOINT 57.2 C PACKING GROUP 3PROPER SHIPPING NAME FLAMMABLE LIQUID, N.O.S. PROPER SHIPPING NAME DECAMETHYLTETRASILOXANE EMERGENCY NAME DG EMERGENCY EMERGENCY PHONE +31115694982",DOW SILICONES CORPORATION,OMEGA PARKWAY CEDAR GROVE BUSINESSPARK SHEPHERDSVILLE KY 40165UNITED STATES,DOW EUROPE GMBH C O DSV LOGISTICS,RUE ZENOBE GRAMME FAMILLEUREUX7181 BELGIUM,DSV AIR & SEA INC 27651,HLCU-HAPAG LLOYD A G,BELGIUM,ANTWERP/ANVERS,LOUISVILLE,UNITED STATES,BELGIUM,80,PCS,1.93,14500.24,181.25,4000*900*800,None,MTSU9661450,NORFOLK,VIRGINIA,DOW CORNING CORPORATION PLANT H178 270 OMEGA PKY STE 200 SHE PHERDSVIL LE KY 40165-8515 LOUI SVILLE AIRPOR T SVILLE AIRPORT . . . .;. . . . . DOW CORNING CORPORATION PLANT H178 270 OMEGA PKY STE 200 SHE PHERDSVIL LE KY 40165-8515 LOUI,0,FCL,"ANTWERP, BE",HAPAG LLOYD A G,CARE OF,1,KENTUCKY
2023-12-30,"SPECIALTY SILICONE FLUID LKSIL 10 SPECIALTY SILICONE FLUID LKSIL 100ST(12500) H.S.CODE 39.10.0020 (PACKING 18.00 X 1000 KGS IBC TOTE AS PER PO NO.E/SQ23-24/40159 DATED 09/07/2023 INVOICE NO. E23-24/50179 DATED 5.11.2023 ORIGIN INDIA PO. NO. 13930 PO DATE 2/8/2023 INCOTERMS CIF ORIGIN - INDIA TERMS OF PURCHASE CIF - SAN JUAN, PUERTO RICO,( AS PER INCOTERM -2020) DOCUMENTARY CREDIT NUMBER CM28079 DATE 14.09.2023 NET WT 18,000.00 KGS FREIGHT PREPAID XINDIA PH +91 7420001507/8 CIN NO U24100MH1986PTC039957",OLEIN RECOVERY CORP.,"CARR. 901 KM. 2.7BO. CAMINO NUEVO, YABUCOA,PUERTO RICO,00767,",ELKAY CHEMICALS PVT. LTD.,"LOTE- PARSHURAM INDUSTRIALAREA,VILLAGE -LOTE,TAL-KHED,PLOT NOF-5, MIDC,LOTE PARSHURAMM.I.D.C.TAL. KHED, DIST-",OLEIN RECOVERY CORP.,HLCU-HAPAG LLOYD A G,INDIA,CARTAGENA,SAN JUAN,PUERTO RICO(US),COLOMBIA,18,PCS,1.0,19014.0,1056.33,2000*806*800,None,PHLU2100511,SAN JUAN,PUERTO RICO,1/18 TO 18 /18 PACKAGES . . . . . . .;. . . . . . . .,39100020,FCL,"NHAVA SHEVA, IN",HAPAG LLOYD A G,TRANSHIPMENT,1,None
2023-12-29,"HAZARDOUS DETAILS : UN : 1993, FLAMMABLE LIQUID , N.O.S. (DECAMETHYLTETRASILOXANE), CLASS : 3, PG : III, 57.2 C, EMS : F-E S-E, DOW EUROPE GMB H CHEMTREC +1-703-527-3887 XIAMETER(TM) PMX -200 SILICONE FLUID 1.5 CST170 KG DRUM HS2 931900090",DOW SILICONES CORPORATION,"PLANT H178 700 OMEGA PARKWAYSHEPHERDSVILLE KY 40165 UNITEDSTATES,",DOW EUROPE GMBH C O DSV LOGISTICS,"RUE ZENOBE GRAMME FAMILLEUREUX 7181BELGIUM,",DSV AIR & SEA INC FC#I620,IILU-INDEPENDENT CONTAINER LINE LTD,BELGIUM,ANTWERP/ANVERS,WILMINGTON,UNITED STATES,BELGIUM,80,BOX,1.72,13095.06,163.69,4000*0*0,None,GAOU6723369,WILMINGTON,NORTH CAROLINA,"DOW CORNING CORPORATION PLANT H178 270 OMEG A PKY STE 200 SHEPHERDSVILLE KY 40165-8515LO UISVILLE AIRPORT UN1993 FLAMMABLE LIQUID, N.O.S. (DECAMETHYLT ETRASILOXANE), 3, III, (D/E) IMDG UN1993 F LAMMABLE LIQUID, N.O.S. (DECAMETHYLTETRASILO XANE), 3, III, (57.20 C C.C.), F-E, S-E, STO WAGE CATEGORY A UNITED STATES NOT REGULATE;D PER 49CFR 173.150(F)(2)",2931900090,FCL,BELGIUM,INDEPENDENT CONTAINER LINE LTD,CARE OF,1,KENTUCKY
